編號,標題,價格,商品網址,圖片網址
16,《三民》新譯金剛經(二版)/徐興無-注譯【三民網路書店】,270,https://shopee.tw//《三民》新譯金剛經(二版)-徐興無-注譯【三民網路書店】-i.42458033.17998841088?sp_atk=769669a5-e510-4b5f-bd38-e99c67c820d3&xptdk=769669a5-e510-4b5f-bd38-e99c67c820d3,https://down-tw.img.susercontent.com/file/sg-11134201-7rbkz-lolrnaxuq60s5d_tn
17,讓春光（簡體書）/這碗粥【三民網路書店】,281,https://shopee.tw//讓春光（簡體書）-這碗粥【三民網路書店】-i.42458033.22574189483?sp_atk=2f8263af-1252-4ab6-a946-bd7869e3777d&xptdk=2f8263af-1252-4ab6-a946-bd7869e3777d,https://down-tw.img.susercontent.com/file/sg-11134201-7rbl7-lodtdkxt4e3g86_tn
18,《臺大出版中心》中國文學史（下）/臺靜農【三民網路書店】,600,https://shopee.tw//《臺大出版中心》中國文學史（下）-臺靜農【三民網路書店】-i.42458033.5877301563?sp_atk=c5b74bf6-e50d-4649-8078-70628734bdd4&xptdk=c5b74bf6-e50d-4649-8078-70628734bdd4,https://down-tw.img.susercontent.com/file/sg-11134201-7rbnd-lovs1z9dkjj106_tn
19,《三民》新譯曾文正公家書(二版)/湯孝純-注譯【三民網路書店】,360,https://shopee.tw//《三民》新譯曾文正公家書(二版)-湯孝純-注譯【三民網路書店】-i.42458033.21984101079?sp_atk=6f008180-3aa9-4de4-ad5c-f72e494cc1cf&xptdk=6f008180-3aa9-4de4-ad5c-f72e494cc1cf,https://down-tw.img.susercontent.com/file/sg-11134201-7rbmi-lon38kqqqbspef_tn
20,《九歌》夜官巡場Iā-Kuan Sûn-Tiûnn/張嘉祥【三民網路書店】,340,https://shopee.tw//《九歌》夜官巡場Iā-Kuan-Sûn-Tiûnn-張嘉祥【三民網路書店】-i.42458033.21132196559?sp_atk=a0e208d2-6b7c-47ac-921f-8c99e490c09e&xptdk=a0e208d2-6b7c-47ac-921f-8c99e490c09e,https://down-tw.img.susercontent.com/file/sg-11134201-7rbmt-loyaq1fzgllj74_tn
21,《三民》Vocabulary 2001～4000─實用必備2000單字書/丁雍嫻【三民網路書店】,320,https://shopee.tw//《三民》Vocabulary-2001～4000─實用必備2000單字書-丁雍嫻【三民網路書店】-i.42458033.23554629546?sp_atk=0d65f21c-41f4-4abb-ba34-ca2c78a45d19&xptdk=0d65f21c-41f4-4abb-ba34-ca2c78a45d19,https://down-tw.img.susercontent.com/file/sg-11134201-7rbkn-loniveyffojb84_tn
22,量子科技革命：Q世代的未來/張慶瑞【三民網路書店】,420,https://shopee.tw//量子科技革命：Q世代的未來-張慶瑞【三民網路書店】-i.42458033.19403002985?sp_atk=3b036d7b-fad5-4f6e-a329-7261a64e5ee8&xptdk=3b036d7b-fad5-4f6e-a329-7261a64e5ee8,https://down-tw.img.susercontent.com/file/sg-11134201-7rbk0-lp2ityssnzsue7_tn
23,《三民》新編中國哲學史(二)(四版)/勞思光【三民網路書店】,465,https://shopee.tw//《三民》新編中國哲學史(二)(四版)-勞思光【三民網路書店】-i.42458033.14801935385?sp_atk=440150d3-4163-4ef8-8ae9-cf733f2c8946&xptdk=440150d3-4163-4ef8-8ae9-cf733f2c8946,https://down-tw.img.susercontent.com/file/sg-11134201-7rbn1-lonhohk0xwnhef_tn
24,《東大》20分鐘稱霸統測英文綜合測驗(附解析本)/莊靜軒【三民網路書店】,135,https://shopee.tw//《東大》20分鐘稱霸統測英文綜合測驗(附解析本)-莊靜軒【三民網路書店】-i.42458033.19858431082?sp_atk=cd9a115b-c589-4711-ba2b-4c63eda5a855&xptdk=cd9a115b-c589-4711-ba2b-4c63eda5a855,https://down-tw.img.susercontent.com/file/sg-11134201-7rblb-lomdzkh2qhk07b_tn
25,《麥浩斯出版》水晶寶石應用全書：收錄超過200種寶石介紹，超過600種應用技巧，解讀礦石中的占星知識與療癒能量/塞里德文•格林利夫【三民網路書店】,499,https://shopee.tw//《麥浩斯出版》水晶寶石應用全書：收錄超過200種寶石介紹，超過600種應用技巧，解讀礦石中的占星知識與療癒能量-塞里德文•格林利夫【三民網路書店】-i.42458033.22200890113?sp_atk=df60064f-6fe0-4fe1-8113-2a0c62cf92d3&xptdk=df60064f-6fe0-4fe1-8113-2a0c62cf92d3,https://down-tw.img.susercontent.com/file/sg-11134201-7rbmc-loxizh1xks3q61_tn
